x	y
-0.026	0.013
-0.034	0.070
-0.040	0.116
-0.033	0.174
-0.020	0.241
-0.010	0.305
-0.003	0.365
-0.009	0.431
-0.012	0.482
-0.009	0.531
0.0263	0.022
0.0189	0.083
0.0121	0.124
0.0124	0.178
0.0139	0.239
0.0119	0.307
0.0117	0.365
0.0055	0.433
-0.001	0.481
0.0080	0.530
-0.030	0.012
-0.050	0.051
-0.060	0.089
-0.061	0.140
-0.057	0.197
-0.029	0.242
-0.011	0.312
-0.007	0.360
-0.006	0.410
-0.010	0.455
-0.010	0.514
-0.005	0.578
-0.006	0.663
0.0249	0.020
0.0160	0.068
0.0084	0.099
0.0004	0.146
0.0029	0.198
0.0019	0.240
0.0045	0.313
0.0109	0.361
0.0060	0.412
0.0040	0.458
0.0056	0.518
0.0045	0.581
0.0103	0.664
-0.022	0.026
-0.019	0.075
-0.012	0.129
-0.012	0.186
-0.008	0.231
-0.005	0.282
-0.002	0.361
0.0231	0.028
0.0467	0.076
0.0423	0.140
0.0248	0.188
0.0180	0.232
0.0099	0.282
0.0052	0.363
