x	y
-0.030	0.012
-0.050	0.051
-0.060	0.089
-0.061	0.140
-0.057	0.197
-0.029	0.242
-0.011	0.312
-0.007	0.360
-0.006	0.410
-0.010	0.455
-0.010	0.514
-0.005	0.578
-0.006	0.663
0.0249	0.020
0.0160	0.068
0.0084	0.099
0.0004	0.146
0.0029	0.198
0.0019	0.240
0.0045	0.313
0.0109	0.361
0.0060	0.412
0.0040	0.458
0.0056	0.518
0.0045	0.581
0.0103	0.664
