x	y
-0.006	0.009
-0.008	0.052
-0.005	0.138
-0.006	0.009
-0.003	0.183
-0.004	0.235
-0.007	0.298
-0.006	0.358
-0.006	0.437
-0.004	0.511
-0.002	0.669
-0.003	0.586
0.0105	0.009
0.0077	0.051
0.0035	0.137
0.0078	0.101
0.0102	0.184
0.0126	0.238
0.0078	0.299
0.0046	0.362
0.0078	0.437
0.0113	0.513
0.0032	0.669
0.0047	0.588
-0.033	0.014
-0.027	0.094
-0.019	0.151
-0.010	0.197
-0.006	0.241
-0.007	0.282
-0.004	0.360
-0.004	0.451
-0.006	0.497
-0.003	0.551
-0.032	0.053
0.0225	0.014
0.0255	0.097
0.0242	0.151
0.0216	0.197
0.0159	0.241
0.0088	0.282
0.0057	0.361
0.0044	0.451
0.0070	0.498
0.0035	0.551
0.0242	0.056
-0.032	0.011
-0.035	0.060
-0.026	0.093
-0.023	0.154
-0.007	0.180
-0.002	0.227
-0.006	0.319
-0.003	0.413
-0.003	0.483
-0.004	0.539
0.0187	0.012
0.0202	0.059
0.0203	0.096
0.0102	0.155
0.0053	0.180
0.0088	0.229
0.0102	0.320
0.0042	0.415
0.0065	0.484
0.0116	0.541
