x	y
-0.033	0.014
-0.027	0.094
-0.019	0.151
-0.010	0.197
-0.006	0.241
-0.007	0.282
-0.004	0.360
-0.004	0.451
-0.006	0.497
-0.003	0.551
-0.032	0.053
0.0225	0.014
0.0255	0.097
0.0242	0.151
0.0216	0.197
0.0159	0.241
0.0088	0.282
0.0057	0.361
0.0044	0.451
0.0070	0.498
0.0035	0.551
0.0242	0.056
